county,precinct,office,district,candidate,party,votes,election_day,absentee
Clinton,0001 ALLISON TOWNSHIP,Registered Voters,,,,148,,
Clinton,0001 ALLISON TOWNSHIP,Ballots Cast,,,,92,90.0,2.0
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,15,14.0,1.0
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,30,30.0,0.0
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,41,38.0,1.0
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,53,52.0,1.0
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,0,0.0,0.0
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,0,0.0,0.0
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0001 ALLISON TOWNSHIP,Governor,,TOM WOLF,DEM,43,39.0,2.0
Clinton,0001 ALLISON TOWNSHIP,Governor,,SCOTT R WAGNER,REP,51,51.0,0.0
Clinton,0001 ALLISON TOWNSHIP,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0001 ALLISON TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0,0.0,0.0
Clinton,0001 ALLISON TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0001 ALLISON TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,33,30.0,1.0
Clinton,0001 ALLISON TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,61,60.0,1.0
Clinton,0001 ALLISON TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
